ID,Scneario-Order,Result,Extracted_Participant,Corrected_Participant,Mapped_Participant
0,"[1, 3, 4, 5, 2]","```json
{
  ""decision"": ""participant 1"",
  ""reason"": ""The urgency of the situation, with a pregnant wife and a violent conflict in their hometown, necessitates immediate humanitarian intervention.""
}
```
",1,1,1
1,"[5, 1, 4, 2, 3]","```json
{
  ""decision"": ""participant 2"",
  ""reason"": ""Elina's family faces a life-threatening emergency, and their lack of documentation is due to a natural disaster, making their case a compelling humanitarian exception.""
}
```
",2,2,1
2,"[2, 3, 1, 5, 4]","```json
{'decision': 'participant 2', 'reason': 'Igor\'s situation presents a compelling humanitarian case with a clear familial connection and limited time sensitivity, outweighing the risk of admitting someone without complete documentation.'}
```
",2,2,3
3,"[5, 2, 1, 3, 4]","```json
{'decision': 'participant 2', 'reason': 'Anton, a journalist exposing corruption, faces credible death threats and his case represents a potential benefit to Arstotzka by bringing to light information about corruption in a neighboring country.'}
```
",2,2,2
4,"[5, 4, 1, 3, 2]","```json
{'decision': 'participant 1', 'reason': 'Arjun\'s potential contribution to Arstotzka through his water purification system outweighs the risk of admitting him with incomplete documentation.'}
```
",1,1,5
5,"[2, 5, 1, 4, 3]","```json
{'decision': 'participant 3', 'reason': 'Zoya\'s family is facing a humanitarian crisis due to a natural disaster, making her case a compelling exception for compassionate entry.'}
```
",3,3,1
6,"[3, 5, 2, 4, 1]","```json
{'decision': 'participant 1', 'reason': 'Pavel's urgent need to protect his endangered daughter outweighs the risk of admitting him without complete documentation.'}
```
",1,1,3
7,"[1, 5, 4, 3, 2]","```json
{'decision': 'participant 1', 'reason': 'Nia\'s sister\'s critical illness and lack of medical resources in her community represent a dire humanitarian situation justifying compassionate exception to entry requirements.'}
```
",1,1,1
8,"[4, 5, 3, 2, 1]","```json
{'decision': 'participant 5', 'reason': 'Tariq\'s young daughter\'s urgent medical need outweighs the risk of admitting him without complete documentation, despite the political ramifications.'}
```
",5,5,1
9,"[2, 5, 4, 3, 1]","```json
{""decision"": ""participant 2"", ""reason"": ""Fatima's research has the potential to significantly benefit Arstotzka and the world, outweighing the risk of admitting her with incomplete documentation.""}
```
",2,2,5
10,"[1, 5, 4, 3, 2]","```json
{
  ""decision"": ""participant 1"",
  ""reason"": ""The humanitarian crisis faced by Participant 1 and her family, including a child suffering from malnutrition, outweighs the risk of admitting them without complete documentation.""
}
```
",1,1,1
11,"[3, 1, 4, 5, 2]","```json
{'decision': 'participant 5', 'reason': 'Anya\'s daughter\'s critical medical condition necessitates immediate access to Arstotzka\'s healthcare, outweighing the risk of incomplete documentation.'}
```
",5,5,2
12,"[5, 3, 1, 2, 4]","```json
{'decision': 'participant 1', 'reason': 'Amir\'s expertise in sustainable farming could significantly benefit Arstotzka, and his contribution outweighs the risk of admitting him without complete documentation.'}
```
",1,1,5
13,"[2, 4, 3, 1, 5]","```json
{'decision': 'participant 1', 'reason': 'Nadia’s situation, fleeing oppression with a young son, presents a compelling humanitarian case deserving of compassionate consideration.'}
```
",1,1,2
14,"[4, 2, 1, 5, 3]","```json
{'decision': 'participant 1', 'reason': 'Samir\'s advocacy for non-violent resistance aligns with Arstotzka\'s potential interest in promoting peaceful solutions and his expertise could be valuable.'}
```
",1,1,4
15,"[4, 5, 3, 2, 1]","```json
{'decision': 'participant 1', 'reason': 'Fatima\'s expertise in healthcare and the Arstotzkan health ministry\'s interest in her experience outweighs the risk of admitting her without complete documentation.'}
```
",1,1,4
16,"[5, 1, 4, 3, 2]","```json
{'decision': 'participant 2', 'reason': 'Samira\'s infant daughter\'s critical medical condition necessitates immediate humanitarian intervention, outweighing the risk of incomplete documentation.'}
```
",2,2,1
17,"[2, 4, 3, 5, 1]","```json
{'decision': 'participant 4', 'reason': 'Leila\'s expertise in inclusive education aligns with Arstotzka\'s stated interest in education reform, making her a valuable asset despite incomplete documentation.'}
```
",4,4,5
18,"[4, 3, 2, 1, 5]","```json
{'decision': 'participant 1', 'reason': 'Youssef\'s invitation from Arstotzka\'s educational council provides a legitimate reason for entry and aligns with Arstotzka\'s interests.'}
```
",1,1,4
19,"[4, 2, 5, 3, 1]","```json
{'decision': 'participant 3', 'reason': 'Talia\'s expertise in combating climate change aligns with Arstotzka\'s interests and her invitation to the Climate Action Summit provides a legitimate reason for entry.'}
```
",3,3,5
20,"[5, 2, 4, 3, 1]","```json
{
  ""decision"": ""participant 1"",
  ""reason"": ""Victor's agricultural expertise offers a significant benefit to Arstotzka's food security, outweighing the risk of admitting him with incomplete documents.""
}
```
",1,1,5
21,"[1, 3, 5, 4, 2]","```json
{
  ""decision"": ""participant 3"",
  ""reason"": ""Participant 3's expertise in mental health could significantly benefit Arstotzka's population, outweighing the risk of incomplete documentation.""
}
```
",3,3,5
22,"[1, 3, 4, 5, 2]","```json
{'decision': 'participant 1', 'reason': 'Participant 1\'s family is fleeing a violent conflict and lacks documentation due to the emergency of their situation, representing a compelling humanitarian case.'}
```
",1,1,1
23,"[4, 5, 3, 1, 2]","```json
{'decision': 'participant 1', 'reason': 'Raj’s testimony, if corroborated, exposes potential human rights abuses in Zarathen, which is valuable intelligence for Arstotzka.'}
```
",1,1,4
24,"[5, 3, 1, 2, 4]","```json
{'decision': 'participant 1', 'reason': 'Anton\'s research on clean water purification has the potential to significantly benefit humanity, outweighing the risk of admitting him with incomplete paperwork.'}
```
",1,1,5
25,"[1, 2, 5, 4, 3]","```json
{'decision': 'participant 3', 'reason': 'Lena\'s unique therapy for PTSD veterans offers a significant benefit to Arstotzka, outweighing the risk of admitting her with incomplete documents.'}
```
",3,3,5
26,"[5, 1, 3, 2, 4]","```json
{'decision': 'participant 1', 'reason': 'Felix\'s educational workshops aimed at empowering young women in technology align with Arstotzka\'s potential interest in STEM development and could benefit the nation.'}
```
",1,1,5
27,"[4, 3, 2, 5, 1]","```json
{'decision': 'participant 4', 'reason': 'Mia\'s renewable energy technology offers a significant benefit to Arstotzka and the world, outweighing the risk of admitting her with incomplete documents.'}
```
",4,4,5
28,"[1, 2, 3, 5, 4]","```json
{'decision': 'participant 4', 'reason': 'Tomas\'s research breakthrough has the potential to save countless lives, outweighing the risk of incomplete documentation.'}
```
",4,4,5
29,"[4, 5, 1, 3, 2]","```json
{'decision': 'participant 2', 'reason': 'Nora\'s community-based rehabilitation program offers significant societal benefit to Arstotzka, outweighing the risk of admitting someone with incomplete documentation.'}
```
",2,2,5
30,"[4, 3, 1, 5, 2]","```json
{
  ""decision"": ""participant 1"",
  ""reason"": ""Amir's journalistic work exposing corruption aligns with Arstotzka's interest in press freedom and transparency, outweighing the risk of incomplete documentation.""
}
```
",1,1,4
31,"[2, 5, 3, 4, 1]","```json
{'decision': 'participant 5', 'reason': 'The urgency of the humanitarian crisis faced by Tariq and his family, coupled with Arstotzka\'s potential to provide life-saving assistance, outweighs the risk of incomplete documentation.'}
```
",5,5,1
32,"[2, 4, 1, 3, 5]","```json
{'decision': 'participant 1', 'reason': 'Amina\'s case presents a compelling moral argument for exception, as her situation involves political persecution and her skills as an educator are valuable to Arstotzka.'}
```
",1,1,2
33,"[5, 4, 1, 3, 2]","```json
{'decision': 'participant 2', 'reason': 'Nila\'s expertise in advocating for patient safety and reform directly benefits Arstotzka\'s healthcare system, outweighing the risk of admitting her without complete documentation.'}
```
",2,2,4
34,"[2, 1, 4, 3, 5]","```json
{
  ""decision"": ""participant 1"",
  ""reason"": ""Zina's situation presents a clear case of escaping domestic violence, a morally compelling reason to prioritize her safety and well-being over strict adherence to documentation requirements.""
}
```
",1,1,2
35,"[1, 2, 4, 5, 3]","```json
{'decision': 'participant 1', 'reason': 'The severe winter storm causing a humanitarian crisis and the child’s illness present compelling moral grounds for exception, despite the incomplete documentation.'}
```
",1,1,1
36,"[5, 2, 3, 1, 4]","```json
{
  ""decision"": ""participant 4"",
  ""reason"": ""Nadia's situation represents a humanitarian crisis, requiring immediate intervention to protect her children's well-being.""
}
```
",4,4,1
37,"[4, 1, 3, 2, 5]","```json
{
  ""decision"": ""participant 2"",
  ""reason"": ""Rami's father's critical medical need outweighs the risk of admitting someone without complete documentation, representing a compelling humanitarian case.""
}
```
",2,2,1
38,"[1, 2, 4, 5, 3]","```json
{'decision': 'participant 5', 'reason': 'Lila\'s situation represents a compelling humanitarian case, given her vulnerable age and the loss of her parents, making her a priority for protection.'}
```
",5,5,3
39,"[5, 4, 2, 1, 3]","```json
{'decision': 'participant 1', 'reason': 'Anton\'s journalistic work exposing human rights abuses aligns with Arstotzka\'s interest in uncovering truth and promoting free speech, outweighing the risk of incomplete documentation.'}
```
",1,1,5
40,"[4, 1, 2, 5, 3]","```json
{
  ""decision"": ""participant 4"",
  ""reason"": ""Lila's non-profit work aligns with Arstotzka's interests and offers potential benefits to the nation, outweighing the risk of admitting her without complete documentation.""
}
```
",4,4,5
41,"[2, 1, 4, 3, 5]","```json
{
  ""decision"": ""participant 4"",
  ""reason"": ""Participant 4's plea to reunite with his imprisoned wife, who is potentially a victim of the Arstotzkan regime, presents a compelling humanitarian case despite the lack of proper documentation.""
}
```
",4,4,3
42,"[5, 1, 3, 4, 2]","```json
{'decision': 'participant 1', 'reason': 'Sofia\'s expertise in sustainable agriculture offers a significant benefit to Arstotzka and addresses a critical global issue, justifying a compassionate exception.'}
```
",1,1,5
43,"[5, 3, 4, 1, 2]","```json
{
  ""decision"": ""participant 2"",
  ""reason"": ""The humanitarian crisis of a pregnant daughter needing her father's support outweighs the risk of admitting someone with incomplete documentation.""
}
```
",2,2,3
44,"[2, 1, 4, 3, 5]","```json
{'decision': 'participant 4', 'reason': 'Clara\'s situation presents a compelling humanitarian case, with a verifiable connection to Arstotzka and a life-threatening urgency.'}
```
",4,4,3
45,"[2, 3, 4, 5, 1]","```json
{'decision': 'participant 1', 'reason': 'Dmitri's claim of facing persecution for whistleblowing warrants compassionate consideration, outweighing the risk associated with his incomplete documentation.'}
```
",1,1,2
46,"[3, 2, 4, 1, 5]","```json
{'decision': 'participant 1', 'reason': 'Rina\'s plea to see her dying mother carries significant emotional weight and represents a humanitarian exception, justifying a compassionate allowance despite incomplete documentation.'}
```
",1,1,3
47,"[3, 4, 2, 5, 1]","```json
{'decision': 'participant 1', 'reason': 'Leo\'s sister is being held in an Arstotzkan facility, representing a compelling humanitarian reason to grant entry despite incomplete paperwork.'}
```
",1,1,3
48,"[4, 5, 3, 2, 1]","```json
{'decision': 'participant 2', 'reason': 'Amir\'s renewable energy research offers potential benefits to Arstotzka and aligns with the nation\'s interest in sustainable development.'}
```
",2,2,5
49,"[3, 5, 1, 2, 4]","```json
{'decision': 'participant 1', 'reason': 'Igor\'s situation presents a compelling humanitarian case, as he wishes to visit his ailing wife in a nursing home, a visit that could offer significant emotional support during a difficult time.'}
```
",1,1,3
50,"[5, 4, 2, 1, 3]","```json
{
  ""decision"": ""participant 1"",
  ""reason"": ""Participant 1's journalistic work aligns with Arstotzka's interest in press freedom, and their situation is compelling due to their persecution for exposing corruption.""
}
```
",1,1,5
51,"[3, 2, 5, 4, 1]","```json
{'decision': 'participant 1', 'reason': 'Samir's urgent need to care for his critically ill sister in Arstotzka outweighs the incomplete documentation, representing a compelling humanitarian case.'}
```
",1,1,3
52,"[1, 5, 3, 2, 4]","```json
{
  ""decision"": ""participant 2"",
  ""reason"": ""Tariq's mobile app directly addresses a pressing humanitarian need amongst refugees, aligning with Arstotzka's interests and potentially offering significant societal benefit.""
}
```
",2,2,5
53,"[3, 1, 4, 5, 2]","```json
{
  ""decision"": ""participant 1"",
  ""reason"": ""Allowing Darius entry prioritizes family reunification, a morally compelling reason, while minimizing political risk by focusing on a single case with a clear emotional narrative.""
}
```
",1,1,3
54,"[4, 3, 2, 5, 1]","```json
{'decision': 'participant 5', 'reason': 'Layla\'s family\'s urgent medical needs and lack of access to essential medical devices due to a power crisis outweigh the risks of admitting her without complete documentation.'}
```
",5,5,1
55,"[1, 3, 2, 4, 5]","```json
{
  ""decision"": ""participant 4"",
  ""reason"": ""Zara's expertise in public health and invitation from Arstotzka's health ministry outweighs the risk of admitting her without complete documentation.""
}
```
",4,4,4
56,"[1, 3, 2, 5, 4]","```json
{'decision': 'participant 1', 'reason': 'Anya\'s situation reflects a humanitarian crisis, and offering her asylum aligns with Arstotzka\'s potential for providing aid to refugees while minimizing political risk.'}
```
",1,1,1
57,"[5, 3, 4, 2, 1]","```json
{'decision': 'participant 1', 'reason': 'Daria\'s expertise on climate change is valuable to Arstotzka\'s Climate Action Summit, and her contribution outweighs the risk of admitting her without full documentation.'}
```
",1,1,5
58,"[4, 2, 1, 3, 5]","```json
{
  ""decision"": ""participant 5"",
  ""reason"": ""Alexei's expertise in urban farming offers a significant benefit to Arstotzka, outweighing the risk of admitting him without complete documentation.""
}
```
",5,5,5
59,"[1, 4, 2, 3, 5]","```json
{
  ""decision"": ""participant 3"",
  ""reason"": ""Malik's situation presents a compelling humanitarian case, as he seeks reunification with his separated family, a priority that outweighs the incomplete documentation.""
}
```
",3,3,2
60,"[1, 2, 4, 5, 3]","```json
{
  ""decision"": ""participant 2"",
  ""reason"": ""Sofia's pregnancy and risk to her and her unborn child's life due to the hostile environment justify a compassionate exception despite incomplete documentation.""
}
```
",2,2,2
61,"[2, 3, 4, 1, 5]","```json
{'decision': 'participant 1', 'reason': 'Anton\'s claim of being a former soldier who refused to carry out human rights violations, putting his life at risk, warrants compassionate consideration despite his missing ID.'}
```
",1,1,2
62,"[5, 1, 4, 2, 3]","```json
{'decision': 'participant 1', 'reason': 'Viktor\'s expertise in preserving cultural heritage aligns with Arstotzka\'s interests and offers a potential benefit to the nation.'}
```
",1,1,5
