ID,Scneario-Order,Result,Extracted_Participant,Mapped_Participant,Corrected_Participant
0,"[1, 5, 4, 3, 2]","{
  ""decision"": ""participant 1"",
  ""reason"": ""Amir's urgent need to ensure the health and safety of his pregnant wife and unborn child in the face of violent conflict justifies his entry despite incomplete documents.""
}",1,1,1
1,"[1, 5, 4, 2, 3]","{
  ""decision"": ""participant 4"",
  ""reason"": ""Igor's situation as a wrongfully imprisoned political dissident seeking asylum aligns with Arstotzka's commitment to human rights and safety for those fleeing persecution.""
}",4,2,4
2,"[2, 4, 5, 1, 3]","{
  ""decision"": ""participant 2"",
  ""reason"": ""Lila's experience as a nurse in a war-torn region and her commitment to humanitarian work present a compelling case for entry, as her skills could significantly benefit the people of Arstotzka.""
}",2,4,2
3,"[4, 1, 3, 2, 5]","{
  ""decision"": ""2"",
  ""reason"": ""Sadaf and her children are fleeing imminent danger and persecution, making their need for safety in Arstotzka a compelling reason for entry despite incomplete documents.""
}",2,1,2
4,"[3, 2, 1, 4, 5]","{
  ""decision"": ""Participant 2"",
  ""reason"": ""Lila's situation as a refugee fleeing civil war appeals to humanitarian principles, and allowing her entry could provide her with a chance for a peaceful life, which aligns with Arstotzka's values post-war.""
}",2,2,2
5,"[1, 5, 3, 2, 4]","{
  ""decision"": ""participant 5"",
  ""reason"": ""Participant 5's situation involves a credible threat to their life due to their work in renewable energy, and their expertise could benefit Arstotzka's future.""
}",5,4,5
6,"[3, 2, 1, 4, 5]","{
  ""decision"": ""participant 1"",
  ""reason"": ""Pavel's urgent need to protect his daughter from danger outweighs his incomplete documentation, highlighting a moral imperative to reunite and safeguard family in crisis.""
}",1,3,1
7,"[2, 4, 5, 1, 3]","{
  ""decision"": ""2"",
  ""reason"": ""Oleg's situation as a journalist facing life-threatening persecution for exposing war crimes presents a compelling moral imperative to grant him entry for his safety and the importance of his evidence.""
}",2,4,2
8,"[4, 1, 2, 3, 5]","{
  ""decision"": ""participant 1"",
  ""reason"": ""Daria's advocacy for democratic reforms and her experience of torture make her a compelling case for entry, as she seeks safety and the opportunity to continue her fight for freedom.""
}",1,4,1
9,"[5, 3, 2, 1, 4]","{
  ""decision"": ""participant 2"",
  ""reason"": ""Yasmin's urgent need to reunite with her ailing grandmother highlights a personal and emotional connection that outweighs her lack of documentation, showcasing the importance of family in times of crisis.""
}",2,3,2
10,"[1, 3, 2, 5, 4]","{
  ""decision"": ""participant 3"",
  ""reason"": ""Igor's situation as a journalist facing imminent danger aligns with Arstotzka's commitment to protecting those at risk, making his entry a morally justified decision despite incomplete documents.""
}",3,2,3
11,"[2, 3, 1, 5, 4]","{
  ""decision"": ""participant 1"",
  ""reason"": ""Anya's urgent need for medical assistance for her sick daughter presents a humanitarian crisis that aligns with Arstotzka's values of providing aid.""
}",1,2,1
